الكتب,الكاتب,سنة النشر,دار النشر,قسم الكتاب,تلخيص الكتاب,عدد الصفحات
زينة الصغيرة,وداد عياش,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"لحظات ما قبل النَّوم السعيدة الَّتي تُمضيها الطِّفلة في عدّ الأشياء الَّتي تحبّها، والهدف من هذا الكتاب هو العدّ إلى عشرة.",16
الزهرة الحاسدة,مهند العاقوص,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"حكايتنا عن زهرة لا يعجبها حالها، إنَّها تَحسد جاراتها، فهل سيُساعدها الحسد؟! هل ستزداد أوراقها؟ هل سيعبق عِطرها؟",24
الأصدقاء والجزرة,وداد عياش,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"مجموعة من الأصدقاءِ في الغابة يتعاونون، يختلفون، ويتفقون.هدف هذا الكتاب هو تشجيع الطِّفل على التَّعاون والمشاركة وتنمية حسِّ التَّعامل الإيجابي مع الآخرين.",24
كنوز سلمى,ليلى صايا,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"تُلبّي القصَّة فضول الطِّفل وحاجته للاطلاعِ والمعرفةِ، وتحرّضه على التعلُّم لامتلاك كنوز معرفيَّة لا حدود لها.",24
هجوم بين النجوم,مهند العاقوص,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"حين تفكِّر بكوكب الأحلام، وتسافر بالخيال قبل أن تنام، قد ترى الهجوم بين النُّجوم، كائنات تطير وتلعب وتحوم.ما قِصَّة الملفوف، وهل سيصبح مصدراً للخوف؟!",16
من قطع شجرتي,جيكار خورشيد,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"تستيقظ راميا صباحاً فلا تجد شجرتها الَّتي تحبُّ قراءة الحكايات في ظلِّها، فتشعر بالحزن وتسعى لتعرف منِ الَّذي قطع شجرتها الجميلة؟!ولماذا فعل ذلك؟!",184
يوم كتبت هبة قصتها,عباده تقلا,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"حزنت هبة لرؤية قصَّتها فارغة من شُخوصها وكلماتها، لكن تشجيع أُمّها منحها فرصة إعادة الرُّسوم والأحداث، وكتابتها على طريقتها الخاصَّة.",318
دميتي تعبث في أركان ال..,حنان مهدي,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"دمية تُثير الشَّغب وتعبث بكلِّ الأغراض في المنزل حتَّى الخطيرة منها.هدف القصَّة هو أن نغرس في الطِّفل فكرة الحفاظ على سلامته، وعدم فعل أمور تُصيبه بالخطر خصوصاً عند غياب أهله عن البيتِ.",123
أخي يبكي كثيراً,سيما ربيع,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,محاولات عديدة للطفلة أن تعرف ما سبب بكاء أخيها الصَّغير.ولكن الأم بإحساسها تعرف بسرعة ما يُبكي طِفلها.,11
الغيمة التي أصبحت ثلجا..,عباده تقلا,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,هل تتوافق تفسيرات الكِبار دائماً مع ما يفكِّر فيه الأطفال؟ تجربة صديقنا سامر تحمل جواباً على ذلك السُّؤال.,118
أمجد والمهن,عباده تقلا,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"هل هُناك مهن أهم من غيرها؟ صديقنا أمجد كان يعتقد ذلك، لكنَّ التَّجربة غيَّرت رأيه.",64
عزف على الناي,ليلى صايا,2019,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"في قصص هذه المجموعة يعيش الأطفال أحداثاً مشوقة مع سامر وسلمى وياسمين، يحلمون مع الشمس والغيوم والعصافير، ويعرفون لماذا أرضنا أجمل الكواكب، وكيف نبغيها جميلة، قصص مكتوبة بلغة بسيطة فيها شفافية وعذوبة وأسلوب معالجتها بعيد عن المباشرة. يعتمد على الخيال، ليصل إلى الهدف التربوي دون أن يتحول إلى موعظة.",112
صندوق جدتي,جيكار خورشيد,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,تدخل الجدَّة إلى غرفتها وتبقى ساعات طويلة أمام صندوقها الخشبيِّ القديمِ.فما سرُّ الصُّندوق العجيب؟ وماذا يحوي في داخلِه؟,192
الكرسي العجيب,بسمة الخاطري,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"الكرسي العجيب كرسي يحبُّه الجميع، إنَّه دافئ مثل عشٍّ وحضنٍ كبيرٍ، فهل ستتخلص منه العائلة عندما يبيع الوالدان الأثاث؟!",192
فرشاتي ترسم,سحر نجا محفوظ,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,ماذا يحدث عندما تريد الفرشاة اللعب مع الألوانِ؟ قصَّة تُحفِّز خيال الطِّفل وتزرع فيه حبَّ المغامرة لاكتشاف ما حوله من أدواتٍ وتأخذه إلى عالمه الطُّفوليّ.,144
نزار هو الحكم,جيكار خورشيد,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,نزار طفل من ذوي الاحتياجات الخاصَّة لا يستطيع الجري ليلعب كُرة القدم مع رِفاقه فماذا سيفعل؟ هل سيبقى ينظر إليهم وهم يلعبون؟ أمْ سيُشاركهم اللَّعب والمرح.,48
زجاجة,وفاء الشامسي,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"أخبرتها صديقاتها بأنّها ستُحرق بالنَّار لتتم إعادة تشكيلها من جديد، حاولت الهروب فركلها أحد الأطفال بقوةٍ فإذا بها تطير عالياً، ثم تستقرُّ في النَّهر.فجأة امتدت يدٌ نحوها ووُضعَتْ في صندوقٍ مُظلم، وهي لا تعرف إلى أين سيأخذونها؟ تُرى ماذا ستكون نهايتها؟!",48
خفا سعد,مريم فرح,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"لا يتوقف سعد عن إضاعة خفيه والبحث عنهما، وأحياناً لا يجدهما هو بنفسه، ويضطر الأهل للبحث عنهما..مرَّة ضاع الخفان ولم يجدهما أحد.. أين هما يا تُرى؟ ومن سيعثر عليهما؟",48
بائع الزهور,مهند العاقوص,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"بائع الزُّهور يملك زهوراً عجيبة، إنَّها زهور تُشبه الأطفال، وتُحبُّ عالم الخيال، ولها حكايات أطيب من العِطر.",48
يقطينة في المدينة,مهند العاقوص,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"اليقطينةُ كبيرةٌ خفيفةٌ، وهي لذيذةٌ وديعةٌ أليفةٌ، فهل يمكن أن تصير مخيفةٌ؟مغامرة اليقطينة، رحلة بين القرية والمدينة...",48
هل ستخبر الأخرين ؟,وفاء الشامسي,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"ولِدَت عشّوبة في حقلٍ مليء بأشجار الفاكهة والخضار، لكن سعادتها لا تدوم.فالعم أيوب يقتلعها بقوةٍ ويرميها بعيداً، ويقول عنها بأنها عشبةٌ ضارَّة! بينما الجدّ صالح يبتسم لها، ويُناديها بالجميلة النافعة.تُرى ما سرّ هذه التَّسميّة، وهل هي فِعلاً هي نافعة؟!",48
جارتي الجديدة,سحر نجا محفوظ,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"في مبنانا الجميل يسكنُ الكثير من الجيرانِ بمحبَّة وتعايش، ومنهم جارتنا أم أيمن الَّتي ستأتي حفيدتها للسكن معها قريباً.فهل نتفق هي وأنا؟ هل هي تُشبهني؟",48
مانديرا,محمد محسن .,2021,فانتازيون للنشر والتوزيع,روايات,رواية تفاعلية,48
إسكاريا (لعنة البكماء..,إيمان محمد موسى,2019,فانتازيون للنشر والتوزيع,روايات,"«أيها المحارب، إن جلستك في مكانك هذا لهو أعظم فخر يمكنك أن تحوزه في حياتك كلها! أن تحمل سلاحك لتقاتل حاملًا على عاتقك مسؤولية (إسكاريا) لهو الجنة بعينها. أنت تتوق أيها المحارب للنزول إلى ساحة الحرب؛ إن لم تحمل هذا الشغف، فلا تحمل سلاحك عبثًا. عليك أن تعلم أيها المحارب أنك في بلد تفتخر عائلاته بعدد ش",48
فالهالا: ألف بطل,إسلام على,2021,فانتازيون للنشر والتوزيع,أدب,"لطالما أثرت فيّ التضحيات كما لا يفعل سواها، ورأيت فيها أعظم وأشجع فعل في الوجود.ربما تضحي من أجل أهلك، مبدئك، حبك، كرامتك..تضحي بفرصتك، بمستقبلك، بجسدك، بروحك، بوجودك..مختارًا، مجبرًا.. مستعدًا، عافيًا..مهما كانت دوافعك، شكل تضحيتك، ظروفها أو مآلها..هي تضحية نبيلة كُتب لها الخلود، ولو في ص",48
القحط,أيمن رجب طاهر,2021,كيان للنشر والتوزيع,روايات,"إنها الشدة العظمى في زمن المستنصر بالله الفاطمي حيث توقف تدفق النيل لمدة سبع سنوات فعاش أهل مصر مجاعة شرسة؛ فأكلو كل شيء حتى جيف الحيوانات ثم أكلوا موتاهم، في غمار تلك الجائحة عاش أهل درب الريحان بالقاهرة ومنهم ميمون الوراق والمقدس يؤنس أقسى ظروف للحياة متشبثين بالصبر على الابتلاء من موت وجوع ووباء",169
مجلد National Geograph..,National Geographic,2020,نهضة مصر,كتب وموسوعات للأطفال,بلغت مجلة «مجلد للشبابNATIONAL GEOGRAPHIC جيوغرافيك» في طبعتها العربية التي تصدرها شركة أبو ظبي للإعلام عددها الخمسين وأكملت عامها الرابع. والعدد خمسون قد يكون خير مناسبة لقراءة ظاهرة هذه المجلة الأميركية العريقة التي ما زالت تحافظ على صدورها الشهري المنتظم منذ تشرين الأول :أكتوبر 1888 أي منذ مئة وس,112
من حواء إلى آدم,مؤمنة محمود,2021,نشر إلكترونى,روايات,"تتحدث الرواية عن رسائل بصيغة السرد الأدبي، رسائل لامرأة ترسلها إلى من كان حبها الأول وانفصلت عنه.عشرون رسالة عتاب كتبتها وقارنتها بين الماضي والحاضر والمستقبل وتدرك وتعرف بأنها لن تصل إليه.الرواية أحداثها حقيقية وأشخاصها أناس حقيقيون.",112
شجيرات,كرم عماد,2021,نشر إلكترونى,ديوان شعرى,"ديوان شعري بالعربية الفصحى، به العديد من القصائد التي تناقش كثيرًا من الموضوعات المتباينة",160
عظماءة التمساح حمراء ا..,محمد عبد اللطيف,2021,نشر إلكترونى,مقالات,"عظاءة التمساح حمراء العَيْن واحدةٌ مِن فصائل السقنقوريَّات التي زاد انتشارها مُؤَخِّرًا في مجال التربِيَة في الأسر، لها شكلٌ خارِجِيٌّ عجيب، يقتَرِبُ مِن التماسيح، ولَيْست مِنها، ولها عينٌ كبيرةٌ مُحاطةٌ بحلقة حمراء اللون، أضفت عليها مظهرًا أخَّاذًا يأسر العيون..",376
على هامش المقارنات,د. حسام سعد,2021,عصير الكتب للنشر الالكترونى,كتب متنوعة,"كان الدافع وراء الكثير من الأشياء التي قمنا بفعلها هو أن نكون مثل الآخرين أو أن نكون أفضل منهم، المرء منا لا يقبل أن يكون أحد أفضل منه بطبيعة الحال وهذه الصفة أو النظرة الفكرية مشتركة بين البشر جميعاً، ولكن نتمادى في تلك المقارنات حتى ننسي طبيعتنا البشرية ونشبه الكائنات المفترسة التي تنهش بعضها بعضا",448
مجلد ميكى عدد 33,Disney,2004,نهضة مصر,قصص الأطفال,ميكي ماوس (بالإنجليزية: Mickey Mouse) هو شخصية كرتونية و لقد تم اختراع هذة الشخصية لأول مرة من قبل والت ديزني وأب أيوركس في سنة 1928 في شركة والت ديزني. ميكي هو فأر أسود الذي يسلك كالإنسان وعادة يلبس بنطلون أحمر وأحذية صفراء وقفازات بيضاء. هو من الشخصيات الأكثر مشهورة في كل عالم وهو رمز شركة والت دي,326
أبناء ديهيا ( لاشين -..,شيرين هنائي,2020,كتوبيا للنشر والتوزيع,روايات,"""فتحت عيني لأرى النيران لا زالت تأكل ما حولي، ورأيته وسط الظلام، أكثر حلكةً منها، ذو الرمح..لأول مرة أسعد برؤيته، لعله ينهي عذابي. لكنه ظل واقفًا عند قبر أبي ينظر تجاهي، ثم وكأنما كان ينتظر أن أراه، ضرب أرض القبر بجناحه، ففاضت بالتراب كأنها عين ماء متفجرة. ثم راح يضرب برمحه ويطعن يمنة ويسرة وأسمع",161
كاهنة الأوراس ( لاشين..,شيرين هنائي,2021,كتوبيا للنشر والتوزيع,روايات,"- لا أريد أن أكون ساحرة.. كل ما حدث لي ولأحبائي كان بسبب السحر. أريد أن أكون سيدة عادية، أنجب الأطفال وأموت على فراشي وسط عائلتي.- هل تريدين العودة؟ ماذا ستفعلين بالشيطان الذي يطاردك؟ كيف ستعيشين وهِبَتِك الإلهية تنفجر دون سيطرة منك في وجه من يقتربون؟ أنت منا.. من الأوراس.. اليوم قد حدث استثناء لم",241
أنا لست خائفاً من الظل..,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"ما إن يحل الظلام، ويتربع القمر في السماء، حتى يحين وقت النوم.. وقبل أن نستغرق في الرقاد، لا بد لنا وأن نمضي وقتا قصيرا بمصاحبة هذا الكتاب، لنتمتع بواحدة من حكاياته الشيقة..",242
قصص الصديقات والأميرات,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"حكايات شيقة عن الصديقات والأصدقاء، الأميرات والأمراء، الملوك والملكات، القصور والساحرات. حكايات عن الجنيات مخصصة للأميرات الصغيرات قبل أن يستسلمن للرقاد.",220
حكايات قبل النوم - 365..,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"هذا الكتاب يحتوي على 365 قصة يمكن أن يقرأ الأهل للطفل واحدة منها كل يوم, وهي منتقاة من البيئة المنزلية أو المدرسية التي يعيشها الطفل, والواقع الذي يفهمه بحواسه الفطرية وادراكاته المتفتحة.",257
حكايات جدي - 365 قصة,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"ها نحن نصغي إلى جد رامي ومايا , وهو يروي لنا طرفا من حكاياته الغريبة، ومغامراته العجيبة، بأسلوبه المرح الذي يمتع وهو يعمل، ويدهش وهو يكتشف. لا شك في أن هذه القصص ستحوز على إعجاب أطفالنا الأعزاء، حين يطالعون على مدار السنة قصة لكل يوم.",257
السيرة النبوية الشريفة..,مجموعة من المصنفين,2021,دار ربيع للنشر ( الأمارات ),كتب وموسوعات للأطفال,"تعريف بسيرة سيدنا محمد للى الله عليه وسلم طفولته وشبابه وتربيته، وبث حبه في قلوب أولادنا.",241
الأهرامات - فيل الفرعو..,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"أَجابَ فِرْعَوْطُ: بِالسُّوطِ! عَلى الحَيواناتِ أَنْ تَفْهَمَ حالاً مَنْ صاحِبُها! قِفْ عَلى قَدَمَيْكَ الخَلْفِيَّتَيْنِ يا فَرْقَدُ! هَيَّا! يَأْمُرُهُ الفَتى الشِّرِّيرُ، ويَرْفَعُ السُّوطَ لِيَضْرِبَ الحَيَوانَ المِسْكينَ. اِنْدَهَشَتْ لَيْلى، وسَحَبَتِ السُّوطَ مِنْ يَدِهِ. - إِيَّاكَ أَنْ تَمَ",241
الأهرامات - التحدى الك..,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"يتحدَّى همَّام فِرْعوطَ: إِنَّكَ تَغْدِرُ بي ثُمَّ تَخْتَبِئُ كالفِئْرانِ! اُخْرُجْ حالاً أَيُّها الجَبانُ. يَتَحَدّاهُ هَمَّامٌ، بَيْنَما كانَتْ لَيْلى تُساعِدُهُ عَلى النُّهوضِ. فيَخْرُجُ فِرْعَوْطُ إِلَيْهِ. - أَنا أَقْوى مِنْكَ وأَذْكى! صاحَتْ بِهِ لَيْلى: أَنْتَ لا تَفوزُ إلَّا حِينَ تَغُشُّ. ق",238
الأهرامات - المقاتل ال..,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"- سَيَفوزُ فَريقي، فريقُ القَمَرِ المَقْلوبِ، بِالتَّأْكيدِ! هَذا صَوْتُ فِرْعَوْطَ، الفتى الشِّرِّيرِ في المَدينَةِ. يُجيبُهُ هَمَّامٌ بِثِقَةٍ: سَنَرى ذَلِكَ، عَلى المُبارِزِ أَنْ يَكونَ قَوِيّاً وسَريعاً. وأَنا أَتَدَرَّبُ مُنْذُ شُهورٍ. أَكَّدَ فِرْعَوْطُ المُتَكَبِّرُ: أَنا ابْنُ كَبيرِ المُهَن",239
الأهرامات - انتقام أبو..,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"إِنْ كُنْتَ تَقولُ الحَقيقَةَ فِعْلاً، فتَعالَ غَداً عِنْدَ الفَجْرِ إِلى أَبي الهَوْلِ. أَقْسِمْ أَمامَهُ بِأَنَّكَ لَسْتَ الفاعِلَ. فإِذا كُنْتَ صادِقاً، فسَتُشْرِقُ الشَّمْسُ عَلى مِصْرَ، وإِلّا فسَوْفَ يُخَيِّمُ الظَّلامُ. كانَ فِرْعَوْطُ لا يَعْلَمُ بِأَمْرِ الكُسوفِ، فضَحِكَ وقالَ: - سَآتي غَ",241
الأهرامات- المومياء ال..,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"أَمْسَكَتْ لَيْلى بِالشُّعْلَةِ وَهِيَ تَذْهَبُ إِلى بابِ السِّرْدابِ، وتَبِعَتْها لُؤْلُؤَةُ دُونَ أَنْ تَنْتَبِهَ إِلَيْها. وكانَ فِرْعَوْط يَنْتَظِرُها هُناكَ. البابُ مَفْتوحٌ، والسِّرْدابُ في ظَلامٍ شَديدٍ. سَأَلَها فِرْعَوْطُ: هَلْ أَنْتِ مُسْتَعِدَّةٌ لِلتَّحَدِّي؟ أَجابَتِ لَيْلى: أَجَلْ، مُس",260
الأهرامات - تمساح الني..,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,قالَ فِرْعُوطُ مُفْتَخِراً بِنَفْسِهِ: ها هِيَ بَيْضَةُ التِّمْساحِ! ما أَلَذَّ هَذا الفَطورَ! قالَ هَمَّامٌ ولَيْلى معاً: هَذِهِ لَيْسَتْ مُلْكَكَ! لا يُمْكِنُ أَنْ تَأْكُلَ بَيْضَةَ تِمْساحٍ! عَلَيْكَ أَنْ تُعيدَها حالاً إِلى تَمْسوحَة! - لا أُفَكِّرُ في ذَلِكَ أبداً! هَذِهِ البَيْضَةُ النَّادِرَة,239
الأهرامات - الكنز المس..,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,قالَتِ الأَميرَةُ فاقِدَةً صَبْرَها: والآنَ؟ مَتى نَبْدَأُ بِالبَحْثِ عَنِ الكَنْزِ؟ قالَ هَمَّامٌ وقَدْ عادَ إِلى الحديقَةِ: كُلُّ شَيْءٍ جاهِزٌ! لَقَدْ أَخْفَيْتُ الصُّنْدوقَ. وما عَلَيْكِ سِوى البَحْثِ عَنْهُ. أَعْطَتْ لَيْلى خَريطَةَ الكَنْزِ لسَمَرْمَرَ وقالتْ: سَتَلْزَمُكِ هَذِهِ! في هَذِهِ ال,260
الأهرامات - في بلاط ال..,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"يَدْعو الفرعونُ الأطْفالَ لِتَسليةِ ابْنَتِهِ الأَميْرَةِ. فَرِحَ هَمَّامٌ ولَيْلى بِذَلِكَ. يَقْتَرِحانِ عَلى فِرْعَوْطَ: أَجَلْ، هَيَّا، فلْنَبْتَكِرْ لُعْبَةً مَعاً. قالَ الفَتى الحَقودُ: كُلُّ واحِدٍ يَبْتَكِرُ لُعْبَتَهُ، أَنا أُريدُ أَنْ أَدْخُلَ غُرْفَةَ الأَلْعابِ بِمُفْرَدي. سَأَفوزُ بِالتّ",260
الأهرامات - الهرم الأك..,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"جلجَلَسَ هَمَّامٌ حَزيناً عَلى إِحْدى الصَّناديقِ. - حَتّى لَوْ بَحَثْنا شَهْراً كامِلاً عَنِ الوَرَقَةِ، فلَنْ نَجِدَها أَبَداً، والفِرْعَوْنُ سَيَصِلُ قَريباً إِلى مكانِ العَمَلِ. لَكِنَّ لَيْلى لا تَسْتَسْلِمُ. - فلْنَبْحَثْ عَنْها بِكُلِّ الأَحْوالِ! قَدْ يُحالِفُنا الحَظُّ! اِبْحَثْ أَنْتَ مِنْ",260
الأهرامات - السهم الذه..,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,سَمِعا دَوِيَّ الأَبْواقِ يُعْلِنُ عَنْ تَحَرُّكِ المَوْكِبِ الفِرْعَوْنِيِّ. عَلى هَمَّامٍ أَنْ يَذْهَبَ إِلى الأَميرِ ويَمْشِيَ بِجِوارِهِ. اِبْتَسَمَتْ لَيْلى وقالَتْ: عَلَيْكَ أَنْ تَذْهَبَ. ثُمَّ أَعْطَتِ الجُعْبَةَ لِصَديقِها كَيْ يَضَعَها عَلى ظَهْرِهِ. تَفَقَّدَ هَمَّامٌ السَّهْمَ الذَّهَبِي,258
حدث بالفعل 4,محمد عصمت,2020,نون للنشر والتوزيع,روايات,"ها أنت ذا..ترافقني في رحلة جديدة بين طيات عوالم الرعب الحقيقي, نبحر سويًا في بحار من فزع تتلاطم أمواجها على شواطئ الهلع رحلة جديدة متنها الرعب..لكن قبل أن أسمح لك بالذهاب لهذه الرحلة.. دعني أسألك عدة أسئلة:هل أنت لمواجهة الرجل المكسور؟هل تعلم قواعد شراء بيت مسكون؟هل تعرف ماذا تر",239
16 قصة في ارض الاميرات,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"حكايات جديدة عن الأمراء والأميرات، الملوك والملكات، القصور والساحرات.. حكايات مخصصة للأميرات الصغيرات قبل أن يخلدن إلى النوم.",257
حكايات اليوم ودائماً,مجموعة مؤلفين,2021,دار ربيع للنشر ( الأمارات ),قصص الأطفال,"إنها مجموعة من سبع حكايات مزينة بالرسوم المذهلة، فيها أمراء وأميرات، ملوك وملكات، سحرة وساحرات، أقزام وحيوانات تتخاطب... إنه عالم من السحر والخيال أمتع الأطفال على مدى الأجيال...",241
بيت المساكين,مينا عادل جيد,2021,الكرمة للنشر والتوزيع,روايات,"«أخذت حَمَلي، وحملته كالراعي الصالح، ونزلت سريعًا على السلَّم لأبحث عن جوارجيوس المسكين، وأقص عليه حلمي الغامض العجيب هذا، علِّي أجد لديه تفسيرًا، فهو مَن فتح ذهني على الأسرار وأحلامها السرية».*	*	*سبعة أيام حاسمة، على صموئيل أن يجتازها مع عائلته وصديقه الحَمَل. سبعة أيام تدفعه لطرح تساؤلات صعبة",353
شخص نعرفه,شاري لابينا,2021,الكرمة للنشر والتوزيع,روايات,"ربما لا تعرف جيرانك كما كنت تظن أنك تعرفهم.«هذا خطاب من الصعب جدًّا كتابته. أتمنى ألا تكرهونا كثيرًا... اقتحم ابني منزلكم مؤخرًا بينما كنتم بالخارج...»في ضاحية هادئة محاطة بالأشجار في شمال ولاية نيويورك، كان مراهق يتسلل إلى المنازل - وإلى أجهزة كمبيوتر المالكين أيضًا - ويطَّلع على أسرارهم، وربما",319
رصاصة في الرأس,ابراهيم عيسى,2021,الكرمة للنشر والتوزيع,روايات,"في يوم حار من شهر يوليو عام 1977، يدخل شابٌّ مبنى مجلس الوزراء، ويسلِّم مكتب رئيس الوزراء ظرفًا أصفر، وحين يفض المسؤول الظرف تبتلعه الدهشة.في الوقت نفسه، شابٌّ آخر يغادر مبنى البرلمان بعد أن سلَّم ذات البيان إلى مكتب رئيس مجلس الشعب:«لقد بدأنا شوطنا، واخترنا طريقنا لتأديب عصاة الله، وتهذيب مستحل",240
جاسوس فى الكعبة,مصطفى عبيد,2021,الرواق للنشر والتوزيع,روايات,"""أنا سيد المكر، وملك الحيل، لا حدود لطموحي، ولا رادع لتقدمي. أؤمن بنفسي قبل إيماني بأي عقيدة، وأثق في كوني أدهى مَن يسير على اثنين. مَن يُعاديني ميت وإن ظن أن لديه منعة، ومن يلامس خلايا الشك عندي، مُنته، ولو اعتقد أنه له خاطر. لا خواطر لأحد"".هذه رواية تستند على أحداث حقيقية، تتشابك مساحات الخيال ف",240
فرسان المجرة,Disney,2018,نهضة مصر,قصص الأطفال,"فى مجرة بعيدة عن ""درب التبانة"" تدعى ""فندوريا"" تجرى أحداث قصتنا؛ حيث ينجح أحد الأشرار فى صنع وحوش من الأحجار لمهاجمة المجرة، لكن وبالرغم من كل ذلك ظهر فرسان المجرة مع زوارقهم الفضائية للتصدى لهم، فهل سينجحون فى القضاء عليهم؟ وما هى قصة المطرقة السحرية؟ وكيف سينجح ""بطوط"" فى الانضمام لفريق فرسان المجرة",240
مجلد National Geograph..,National Geographic,2020,نهضة مصر,كتب وموسوعات للأطفال,بلغت مجلة «مجلد للشبابNATIONAL GEOGRAPHIC جيوغرافيك» في طبعتها العربية التي تصدرها شركة أبو ظبي للإعلام عددها الخمسين وأكملت عامها الرابع. والعدد خمسون قد يكون خير مناسبة لقراءة ظاهرة هذه المجلة الأميركية العريقة التي ما زالت تحافظ على صدورها الشهري المنتظم منذ تشرين الأول :أكتوبر 1888 أي منذ مئة وس,241
ديزنى كوميكس - المخترع..,Disney,2013,نهضة مصر,قصص الأطفال,صفحات من القصص المصورة التي تنقل الشباب (12 سنة وما فوق) إلى عالم جديد ومثير من ديزني تصدر كل 3 أشهر,260
 ديزنى كوميكس - لصوص ظر..,Disney,2018,نهضة مصر,قصص الأطفال,كما نعلم أنه «ليس هناك شخص سيء طوال الوقت.. ولا شخص جيد طوال الوقت».فرغم كل ما تقوم به عصابة «القناع» من أعمال مشينة إلا أنها تحمل صفة إيجابية تكاد تكون الوحيدة.. إنها صفة الإصرار.فهم لا يكلون ولا يملون من محاولة سرقة عم «دهب» رغم أنهم لم ينجحوا ولامرة فى سرقته.وهل يتمكنون هذه المرة من,127
مجلد ميكى جيب 58,Disney,2004,نهضة مصر,قصص الأطفال,مجموعة من 3 أعداد من مجلة MickyPocket تصدر شهرياً. مع 132 صفحة من القصص الطويلة والمضحكة. كما يحتوي على افتتاحية تتحدث عن الثقافة والرياضة وغيرها. بالإضافة إلى الألغاز والألعاب,127
ديزنى كوميكس - بط جووو..,Disney,2018,نهضة مصر,قصص الأطفال,إلى الحب الذي لا يعرف الفشل..إلى الهواية التى لا تعرف الكسل...إلى كل محبى بطوط.. إليكم هذا العدد..,127
ديزنى كوميكس- العميل ا..,Disney,2013,نهضة مصر,قصص الأطفال,صفحات من القصص المصورة التي تنقل الشباب (12 سنة وما فوق) إلى عالم جديد ومثير من ديزني تصدر كل 3 أشهر,127
ديزني كوميكس - دهب و..,Disney,2013,نهضة مصر,قصص الأطفال,صفحات من القصص المصورة التي تنقل الشباب (12 سنة وما فوق) إلى عالم جديد ومثير من ديزني تصدر كل 3 أشهر,127
ديزنى كوميكس - وظائف ب..,Disney,2013,نهضة مصر,قصص الأطفال,صفحات من القصص المصورة التي تنقل الشباب (12 سنة وما فوق) إلى عالم جديد ومثير من ديزني تصدر كل 3 أشهر,127
ديزنى كوميكس - الشبح ا..,Disney,2019,نهضة مصر,قصص الأطفال,"كان حلم حياته أن يصبح واحداً من أساطير الشر في العالم، لكن من سوء حظه أنه قرر أن يفعل ذلك في مدينة البط التى قرر فيها ميكى أيضًا أن يصبح أسطورة بمثاليته. ورغم هروب كل الأشرار من ميكى قرر هو أن يواجهه ويستمر.. وهنا ولأول مرة قررت صفحات ديزني كوميكس أن تخصص هذا العدد لتسلط الضوء على الجوانب الأخرى لحي",127
ديزنى كوميكس - سوسو و..,Disney,2018,نهضة مصر,قصص الأطفال,صفحات من القصص المصورة التي تنقل الشباب (12 سنة وما فوق) إلى عالم جديد ومثير من ديزني تصدر كل 3 أشهر,57
