الكتب,الكاتب,سنة النشر,دار النشر,قسم الكتاب,تلخيص الكتاب,عدد الصفحات
قصتك في بير,عبد الله الزيود,2021,عصير الكتب للنشر الالكترونى,قصص قصيرة,"قصص حقيقية مسكوتٌ عنها رواها أبطالها الحقيقيون، حررها مجموعة من الكتاب الأردنيين بلهجة بلاد الشام.مجموعة من أربعة عشر قصة على لسان أصحابها، عن الظلم، التحرش، الاغتصاب، الأمراض الخلقية والنفسية ، اليتم، الفقر، الأحلام، العيب، عن التفكير خارج الصندوق، وعن المعاناة الروحية وغيرها من القصص التي لا يب",176
مع فلجان قهوة,هبة الله حسام,2021,نشر إلكترونى,قصص قصيرة,"نبذة عن الكتاب:مجموعةٌ قَصَصِيَّة، تتكون من ثلاثِ قصص، كلٌّ منهم يختلفُ تصنيفه عن الآخر؛ شتَّان بينهم.تجمعُ بين الأسَى، والدُّجَى، الحب، الوجل، الشجاعة، النُّصح، وجُلَّ ما يفيضُ بالخاطِر، مِنَ الكَلِمِ والمَشَاعِر.",279
يامنة,محمود الدسوقي عيسي,2021,نشر إلكترونى,قصص قصيرة,نبذة عن الكتاب :بضع ساعات قد تكون فارقة في حياة اإلنسان ؛ بضع ساعاتربما تحول حياتنا الي االفضل وربما الي األسواء .نسير خلف اقدرانا أو ربما هي من تركض خلفنا كي تلحق بناوفي النهاية ستدركنا ولو اختبائنا في حوت يونس .,528
انكفاء,حسين السنبختي,2021,نشر إلكترونى,قصص قصيرة,"منذ سنواتٍ ليس لها عددٌ، نقش الأستاذ المرحوم على الإسفلت كلماتٍ لَمْ يَعِها من قرأها من المشّائين عليه باستمرارٍ حتى الآن: ‏«من مكاني هذا، أراكم تستمرون وتزدادون عُلُوًّا في الأرض، ولم تتعلموا مني ومما أكتبه لكم حرفًا واحدًا؛ أبشروا! فقريبًا مكانكم أسفل مني.».انكفاء.. قصةٌ قصيرةٌ عن الذي انكفأ",400
أن أراها,د/أحمد معمر احمد,2021,نشر إلكترونى,قصص قصيرة,"نبذة عن الكتاب :حتى انكشاف النهاية عن الحقيقة المطلقة لبطلنا العزيز فرانزقصة قصيرة بعنوان ان اراها ، تدور الاحداث عن نهاية عالمنا بفعل اصطدام نيزك ضخم وسط تلك الاهوال نعيش مع كاتب مغمور تفاصيل يومه و ادمانه وعشقه لصديقته لحظات الندم والنشوة والخوف",160
اكتشف داخل: عالم الدين..,مجموعة مؤلفين,2021,المجاني للنشر والتوزيع,كتب وموسوعات للأطفال,استرق النظر داخل عالم الديناصورات لترى ما يمكن ان تجد فيه فمنها الطويله و الشوكيه و تلك التي لها انياب حاده,156
My Little Darling - Pe..,مجموعة مؤلفين,2020,المجاني للنشر والتوزيع,قصص الأطفال,"A book full of tenderness, showing the mother’s relationship with her little one when he plays and eats, commits stupid things, or desires foreplay",144
My Little Darling - C..,مجموعة مؤلفين,2020,المجاني للنشر والتوزيع,قصص الأطفال,"A book full of tenderness, showing the mother’s relationship with her little one when he plays and eats, commits stupid things, or desires foreplay",304
النقمة,فيليب روث,2021,المدى للنشر والتوزيع,روايات,"ظهرت أول حالة إصابة بشلل الأطفال في صيف ذلك العام باكراً في أوائل شهر حزيران، بعد حلول يوم الذكرى، في حيٍّ إيطاليٍّ فقير يقع على الطرف المقابل من البلدة حيث كنا نعيش. في الزاوية الجنوبيّة الغربيّة من المدينة، في القِطاع اليهوديّ المنفصل، لم نسمع أيّ شيء عنها، ولم نسمع أيّ شيء عن الإصابات العديدة الم",352
قصر الكتب,روجر جرينير,2021,المدى للنشر والتوزيع,دراسات,"يمكن للمرء ان يقرأ مجموعة كتب، او ان يرث مكتبة فيقرأ محتوياتها. أمّا أن يقرأ دار نشر بأكملها ومعها البعض من منشورات دور أخرى، فهذا لايتوفر الا لمن عاش فترة زمنية قاربت القرن باكمله. مؤلف هذا الكتاب «روجيه غرينييه» ولد عالم 1917 وتوفي عام 2017 وعمل خلال اكثر من نصف قرن في ادارة، واحدة من اكبر دور الن",360
مشروع اوما,لطفية الدليمي,2021,المدى للنشر والتوزيع,روايات,"مشروع أومّا نصٌّ يغذّي إمكانات الأمل بالخلاص ، ينبثق عن قصص حبّ ملهمة ومداولات أفكار تجترح تفاصيل المشروع فيزدهر بها وتدوم به ، ويرعى وقائع الحب البرّية انتماءٌ متجذّر للطبيعة وإيمانٌ بالخلاص المرتجى ، إنتماءٌ وايمانٌ يشتبكان وجودياً بالمشروع حتى لكأنّهما يشكّلان كياناً ملتحماً وسط التحديات القاتلة",336
رفعة الجادرجي,بلقيس شرارة,2021,المدى للنشر والتوزيع,سيرة ذاتية,"هذا الكتاب عن رفعة الجادرجي كمعمار، ومنظر وكاتب وفوتوغرافي، عن رفعة الذي كان في سباق مع الزمن. كان رفعة يؤمن بعبثية الوجود، ولا يؤمن بالطقوس لكنه يحترمها، فالحياة قصيرة مهما طالت، وعلينا ان نقبل الواقع، فلكل شيء نهاية، كما قال الكاتب والخطيب الروماني، ماركوس ترليون شيشرون"" علينا ان نقبل ان الحياة قر",424
لاننا نقول ذلك,نعوم تشومسكي,2021,المدى للنشر والتوزيع,دراسات,"يؤكد كل مقال في هذا الكتاب أن تشومسكي لا يؤيد فكرة وجود بُعد واحد للسلطة، وهي فكرة غالبًا ما يجد المرء تأييدًا لها بين كثيرين من مفكري اليسار. إنه يدرك جيدًا أن السلطة متعددة الأوجه، وتعمل من خلال عدد من الوسائل المادية والمعنوية، هي ماهرة بشكل خاص في الإشارة إلى أن السلطة لها أيضًا وظيفة تربوية ويج",728
لايسكن الناس جميعهم ال..,جان بول دوبوا,2021,المدى للنشر والتوزيع,روايات,"عالم دوبوا عالم مأساوي، وعنيف، وحياة غير عادلة (الموت المبكر، والزنزانة بحجم 6م ²، والعزلة) عالم من الفشل والضياع والندم عبر سارد يدعى بول هانسن، الذي يرى أن هناك طرقاً كثيرة لا تُحصى للفشل في الحياة. يعمل كحارس عمارة، ويعيش حياة عادية وهانئة في مونتريال بكندا دون مشكلات، إلى أن يقترف جريمة، ويدخل ا",221
